,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1785,0.0,0.0,0.0,0.0,7.0,95.0,0.014285714,0.061904762,0.0,0.0,Mar,2,6,1,1,Returning_Visitor,False,0
10407,2.0,14.0,0.0,0.0,81.0,1441.9105880000002,0.0024691360000000002,0.013932981,2.76959892,0.0,Nov,2,2,3,2,Returning_Visitor,False,0
286,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,0
6520,5.0,49.2,4.0,379.0,5.0,74.6,0.0,0.018181818,8.326728149,0.0,Sep,2,2,8,2,New_Visitor,False,0
12251,0.0,0.0,1.0,5.0,9.0,279.0,0.04,0.041666667000000004,0.0,0.0,Nov,3,2,7,8,New_Visitor,True,0
1758,3.0,43.0,0.0,0.0,10.0,427.16666669999995,0.0,0.015384615,0.0,0.0,Mar,3,2,9,3,Returning_Visitor,False,0
5524,0.0,0.0,0.0,0.0,6.0,95.0,0.028571429,0.028571429,86.33623272,0.0,Oct,1,1,4,2,New_Visitor,False,1
1284,3.0,76.0,0.0,0.0,24.0,1038.845238,0.0,0.008333333,0.0,0.0,Mar,2,2,4,3,New_Visitor,False,0
5350,0.0,0.0,0.0,0.0,3.0,278.0,0.0,0.066666667,0.0,0.0,May,1,1,1,15,Returning_Visitor,False,0
5284,0.0,0.0,0.0,0.0,22.0,662.6666667000001,0.011363636000000002,0.042651515,0.0,0.4,May,2,2,4,2,Returning_Visitor,False,0
10410,0.0,0.0,0.0,0.0,9.0,1626.0,0.022222222000000003,0.07777777799999999,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,0
8107,1.0,19.0,0.0,0.0,10.0,349.8333333,0.0,0.00625,0.0,0.0,Dec,3,2,8,8,New_Visitor,False,0
6330,5.0,34.44242424,0.0,0.0,103.0,1843.759347,0.0,0.019613005,0.0,0.0,June,2,4,1,2,Returning_Visitor,True,0
8305,0.0,0.0,0.0,0.0,19.0,347.0,0.0,0.010526316,0.0,0.0,Dec,2,2,2,1,Returning_Visitor,False,0
3411,4.0,132.0,1.0,23.0,24.0,1614.22619,0.0,0.014285714,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,0
9796,2.0,197.5,0.0,0.0,17.0,820.5,0.011111111000000002,0.011111111000000002,0.0,0.0,Dec,1,1,1,8,Returning_Visitor,False,0
9055,0.0,0.0,0.0,0.0,9.0,134.75,0.083333333,0.124444444,0.0,0.0,Nov,1,1,2,1,Returning_Visitor,False,0
549,0.0,0.0,0.0,0.0,3.0,48.0,0.0,0.066666667,0.0,0.0,Mar,4,1,1,1,Returning_Visitor,False,0
6756,4.0,21.1,2.0,341.6,92.0,2668.712121,0.018556202,0.047858483,0.0,0.0,Aug,2,2,1,3,Returning_Visitor,True,0
10913,4.0,99.5,0.0,0.0,9.0,139.5,0.0,0.017222222,0.0,0.0,Dec,2,2,3,8,New_Visitor,False,0
